episode,epoch,episode_reward,last_loss,last_td
0,0,-7.7991,114.82972717285156,8.062932014465332
1,0,-10.8071,114.82972717285156,8.062932014465332
2,0,-14.1103,114.82972717285156,8.062932014465332
3,0,-10.7624,114.82972717285156,8.062932014465332
4,1,-17.8494,5.102923393249512,1.793919324874878
5,1,-14.2725,5.102923393249512,1.793919324874878
6,1,-10.8651,5.102923393249512,1.793919324874878
7,1,-14.2144,5.102923393249512,1.793919324874878
13,2,-7.7688,5.321300506591797,1.8407431840896606
14,2,-10.9087,5.321300506591797,1.8407431840896606
15,2,-14.4511,5.321300506591797,1.8407431840896606
16,2,-11.0141,5.321300506591797,1.8407431840896606
17,3,-14.3541,3.865893602371216,1.5094060897827148
18,3,-10.8086,3.865893602371216,1.5094060897827148
19,3,-7.8267,3.865893602371216,1.5094060897827148
20,3,-10.9247,3.865893602371216,1.5094060897827148
26,4,-14.4207,3.6277871131896973,1.4441577196121216
27,4,-10.9263,3.6277871131896973,1.4441577196121216
28,4,-10.8843,3.6277871131896973,1.4441577196121216
29,4,-11.0118,3.6277871131896973,1.4441577196121216
0,0,-22.0941,4.761176109313965,1.6783987283706665
0,0,-7.8153,4.761176109313965,1.6783987283706665
1,0,-10.8427,4.761176109313965,1.6783987283706665
2,0,-10.7548,4.761176109313965,1.6783987283706665
3,0,-10.7905,4.761176109313965,1.6783987283706665
4,1,-17.7631,2.408482074737549,1.1749171018600464
5,1,-14.3417,2.408482074737549,1.1749171018600464
6,1,-10.9010,2.408482074737549,1.1749171018600464
7,1,-14.2827,2.408482074737549,1.1749171018600464
13,2,-7.7847,2.5766208171844482,1.3116525411605835
14,2,-10.8460,2.5766208171844482,1.3116525411605835
15,2,-10.9289,2.5766208171844482,1.3116525411605835
16,2,-10.9768,2.5766208171844482,1.3116525411605835
17,3,-14.4211,3.7126786708831787,1.2901955842971802
18,3,-10.8422,3.7126786708831787,1.2901955842971802
19,3,-7.7591,3.7126786708831787,1.2901955842971802
20,3,-10.8765,3.7126786708831787,1.2901955842971802
26,4,-14.3822,3.472968578338623,1.2869527339935303
27,4,-10.9634,3.472968578338623,1.2869527339935303
28,4,-10.9266,3.472968578338623,1.2869527339935303
29,4,-10.9507,3.472968578338623,1.2869527339935303
0,0,-10.9242,4.527390956878662,1.45106840133667
1,0,-10.9050,4.527390956878662,1.45106840133667
2,0,-14.2502,4.527390956878662,1.45106840133667
0,0,-10.9073,4.527390956878662,1.45106840133667
1,0,-10.7877,4.527390956878662,1.45106840133667
2,0,-14.3199,4.527390956878662,1.45106840133667
3,0,-10.7470,4.527390956878662,1.45106840133667
4,1,-17.7938,2.120642900466919,0.8834875226020813
5,1,-14.3879,2.120642900466919,0.8834875226020813
6,1,-10.8454,2.120642900466919,0.8834875226020813
7,1,-14.2759,2.120642900466919,0.8834875226020813
13,2,-7.7602,2.1717846393585205,1.0233174562454224
14,2,-10.8900,2.1717846393585205,1.0233174562454224
15,2,-14.4046,2.1717846393585205,1.0233174562454224
16,2,-10.9885,2.1717846393585205,1.0233174562454224
17,3,-14.3175,4.586391448974609,1.3040670156478882
18,3,-14.0983,4.586391448974609,1.3040670156478882
19,3,-7.8172,4.586391448974609,1.3040670156478882
20,3,-10.9050,4.586391448974609,1.3040670156478882
26,4,-14.4741,4.343295097351074,1.3207100629806519
27,4,-14.1846,4.343295097351074,1.3207100629806519
28,4,-10.8612,4.343295097351074,1.3207100629806519
29,4,-10.9857,4.343295097351074,1.3207100629806519
0,0,-10.8719,5.241381645202637,1.3815064430236816
1,0,-10.8444,5.241381645202637,1.3815064430236816
2,0,-14.2605,5.241381645202637,1.3815064430236816
3,0,-10.8328,5.241381645202637,1.3815064430236816
4,1,-17.7139,1.7708553075790405,0.9202625155448914
5,1,-14.5077,1.7708553075790405,0.9202625155448914
6,1,-10.8172,1.7708553075790405,0.9202625155448914
7,1,-14.2197,1.7708553075790405,0.9202625155448914
13,2,-7.8306,1.839851975440979,1.0173403024673462
14,2,-10.8631,1.839851975440979,1.0173403024673462
15,2,-14.3378,1.839851975440979,1.0173403024673462
16,2,-10.9517,1.839851975440979,1.0173403024673462
17,3,-14.2649,2.6123955249786377,1.0534192323684692
18,3,-14.1630,2.6123955249786377,1.0534192323684692
19,3,-7.8036,2.6123955249786377,1.0534192323684692
20,3,-10.8767,2.6123955249786377,1.0534192323684692
26,4,-14.4066,2.4802536964416504,1.0771116018295288
27,4,-14.1290,2.4802536964416504,1.0771116018295288
28,4,-10.9243,2.4802536964416504,1.0771116018295288
29,4,-11.0302,2.4802536964416504,1.0771116018295288
0,0,-8.3256,2.8826870918273926,1.098993182182312
1,0,-8.2976,2.8826870918273926,1.098993182182312
2,0,-8.3761,2.8826870918273926,1.098993182182312
3,0,-11.5888,2.8826870918273926,1.098993182182312
4,1,-11.7529,2.4400529861450195,0.7780945897102356
5,1,-11.7396,2.4400529861450195,0.7780945897102356
6,1,-8.2702,2.4400529861450195,0.7780945897102356
7,1,-11.6534,2.4400529861450195,0.7780945897102356
13,2,-5.2821,2.4982047080993652,0.7975966930389404
14,2,-11.7290,2.4982047080993652,0.7975966930389404
15,2,-11.7969,2.4982047080993652,0.7975966930389404
16,2,-11.8463,2.4982047080993652,0.7975966930389404
17,3,-11.6506,3.1755716800689697,0.8887094259262085
18,3,-8.3354,3.1755716800689697,0.8887094259262085
19,3,-5.2550,3.1755716800689697,0.8887094259262085
20,3,-8.3296,3.1755716800689697,0.8887094259262085
26,4,-11.9025,2.9488110542297363,0.8556421995162964
27,4,-11.7776,2.9488110542297363,0.8556421995162964
28,4,-11.8724,2.9488110542297363,0.8556421995162964
29,4,-8.4844,2.9488110542297363,0.8556421995162964
0,0,-8.3379,3.334909677505493,1.0224583148956299
1,0,-11.6112,3.334909677505493,1.0224583148956299
2,0,-8.3158,3.334909677505493,1.0224583148956299
3,0,-11.4842,3.334909677505493,1.0224583148956299
4,1,-11.6500,2.207625150680542,1.0435813665390015
5,1,-11.9284,2.207625150680542,1.0435813665390015
6,1,-11.6183,2.207625150680542,1.0435813665390015
7,1,-15.2352,2.207625150680542,1.0435813665390015
13,2,-8.3708,2.3790128231048584,1.1572166681289673
14,2,-11.6139,2.3790128231048584,1.1572166681289673
15,2,-11.7794,2.3790128231048584,1.1572166681289673
16,2,-15.7941,2.3790128231048584,1.1572166681289673
17,3,-11.6744,2.240403652191162,0.9426870942115784
